Total population,White alone,Black alone,American Indian alone,Asian alone,Hawaiian alone,Hispanic,Other alone,Two or more,Census Tract,Poverty
6601,3789,46,36,740,0,1699,0,291,6037621201,369
5229,2104,42,16,2466,0,439,7,155,6037651101,303
5732,2522,104,0,942,0,2033,27,104,6037670003,381
3812,2431,38,0,804,0,418,0,121,6037670201,216
6179,2190,137,0,3109,85,369,0,289,6037670407,761
5555,3825,66,21,828,0,458,0,357,6037670702,111
5198,4464,30,0,274,0,161,0,269,6037700600,616
7519,5728,127,0,720,0,500,0,444,6037700902,1116
4411,3211,28,32,502,0,297,15,326,6037701601,167
4031,222,15,0,7,21,3766,0,0,6037502500,837
6855,327,49,0,130,0,6341,0,8,6037502601,401
4320,420,0,0,85,0,3773,0,42,6037502602,909
4370,260,15,4,124,0,3868,60,39,6037502902,1253
4125,1234,15,4,172,0,2649,0,51,6037503402,433
4933,2078,0,0,148,8,2659,0,40,6037503701,389
4721,1469,124,0,1219,0,1813,14,82,6037503802,404
5371,524,188,0,274,0,4376,0,9,6037530101,1141
7265,3096,737,33,1259,0,1796,0,344,6037577000,1316
3669,1445,1,0,0,1,2172,0,50,6037599000,794
5221,326,2598,21,174,46,1760,19,277,6037601303,1250
5861,312,1280,0,101,0,4044,0,124,6037602104,1498
3129,1368,120,0,311,0,1277,6,47,6037131200,981
4151,3012,81,0,243,20,621,80,94,6037189500,902
7451,2078,375,0,3940,16,751,0,291,6037650602,517
6776,1852,20,80,2279,185,2098,13,249,6037650902,623
5270,1344,28,0,733,0,3089,20,56,6037131600,776
5048,1230,33,0,446,0,3239,44,56,6037132700,1003
4058,1355,69,0,1322,0,1195,0,117,6037181300,414
3256,568,17,0,688,0,1968,0,15,6037183300,441
2612,539,0,0,146,0,1909,0,18,6037183510,481
3974,792,62,0,1349,39,1655,0,77,6085503312,465
5626,105,67,0,1729,38,3665,0,22,6085503402,1319
6735,218,88,25,2149,0,4115,0,140,6085503506,1705
3658,1628,235,0,108,0,1653,0,34,6071004503,312
5934,391,107,0,0,0,5417,0,19,6071003900,1598
6825,774,728,9,51,0,5165,0,98,6071005600,4033
10445,4998,577,10,1026,32,3372,0,430,6071008401,1465
7344,5123,51,0,242,24,1661,0,243,6071008703,376
7324,1714,1686,0,373,0,3171,40,340,6071007403,1508
8032,933,1109,43,311,0,5474,8,154,6071006500,4493
